vegetation_id,block_id,hazard_condition,status,voltage,h_conductor,x_distance,pole_from,pole_to,longitude,latitude,las_id,F3d_clearance,vegetation_height,floc_id,circuit_name,flight_date
0548300118,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,37.27,28.06,456036S,2033685E,-116.9160836,33.89376119,Dysart-GEO1-20210408,-18.42,66.68,ED-05483,DYSART,20210408
0548300119,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,34.16,12.98,4467342E,4467343E,-116.906252,33.90671855,Dysart-GEO1-20210408,-18.31,53.91,ED-05483,DYSART,20210408
0548300120,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.36,37.68,2162114E,2138069E,-116.9119452,33.90564624,Dysart-GEO1-20210408,-18.28,64.39,ED-05483,DYSART,20210408
0548300121,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.45,28.97,2162114E,2138069E,-116.9119766,33.90567103,Dysart-GEO1-20210408,-18.26,57.58,ED-05483,DYSART,20210408
0548300122,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.45,16.19,2210850E,2210849E,-116.9249686,33.90724652,Dysart-GEO1-20210408,-18.17,47.92,ED-05483,DYSART,20210408
0548300123,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,35.2,15.41,2293466E,2293465E,-116.908328,33.90594103,Dysart-GEO1-20210408,-18.17,57.17,ED-05483,DYSART,20210408
0548300124,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,34.85,28.1,2210843E,2210870E,-116.9238485,33.9036556,Dysart-GEO1-20210408,-18.09,62.81,ED-05483,DYSART,20210408
0548300125,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,29.85,13.74,2210840E,2210839E,-116.9195097,33.90359962,Dysart-GEO1-20210408,-18.04,52.22,ED-05483,DYSART,20210408
0548300126,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.71,26.9,2210850E,2210849E,-116.9250048,33.90731683,Dysart-GEO1-20210408,-18.03,54.46,ED-05483,DYSART,20210408
0548300127,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,30.11,22.62,2210852E,2210850E,-116.9250328,33.90789043,Dysart-GEO1-20210408,-18.02,55.29,ED-05483,DYSART,20210408
0548300128,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,35.31,42.83,2293466E,2293465E,-116.9082372,33.90583286,Dysart-GEO1-20210408,-18,73.75,ED-05483,DYSART,20210408
0548300129,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,30.78,14.33,2210841E,2210842E,-116.9216809,33.9036068,Dysart-GEO1-20210408,-17.91,52.71,ED-05483,DYSART,20210408
0548300130,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,33.6,32.79,2138069E,2138070E,-116.9113587,33.90540158,Dysart-GEO1-20210408,-17.9,65.82,ED-05483,DYSART,20210408
