VEG_ID,LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD,TREE_SPECIES,LAST_TRIMMED
388,-117.915948,33.80503371,158.66,24.73,16.4,19.03,Mexican fan palm,9/11/21
389,-117.915502,33.805036,188.86,55.29,18.37,19.03,Carrotwood,9/11/21
390,-117.928044,33.80485033,149.03,21.26,19.03,23.29,Dwarf fig tree,9/11/21
391,-117.915321,33.80501674,185.47,51.39,19.03,22.31,Western sycamore,9/11/21
392,-117.928114,33.80484193,155.73,28.27,18.7,20.34,Western sycamore,9/11/21
393,-117.915704,33.80500811,157.81,23.24,18.37,19.03,California palm,9/11/21
394,-117.928140,33.80483824,154.66,27.96,18.7,20.01,Queen palm,9/11/21
395,-117.915192,33.80500784,182.81,49.73,16.08,17.72,Mexican fan palm,9/11/21
396,-117.928314,33.8048265,146.13,20.65,18.37,19.03,Carrotwood,9/11/21
397,-117.928117,33.80481708,155.22,28,18.7,21,Dwarf fig tree,9/11/21
398,-117.915694,33.80498345,158.58,23.27,18.7,21,Western sycamore,9/11/21
399,-117.915988,33.80497235,162.34,28.37,18.37,19.03,Western sycamore,9/11/21
400,-117.915497,33.80497932,188.52,55.21,18.7,23.29,California palm,9/11/21
401,-117.915316,33.80497036,186.06,52.1,19.03,21.33,Queen palm,9/11/21
402,-117.915286,33.80497085,186.06,52.15,19.36,23.62,Mexican fan palm,9/11/21
403,-117.915193,33.80497223,182.59,49.59,16.73,21,Carrotwood,9/11/21
404,-117.915449,33.80496114,188.8,55.9,18.7,23.95,Dwarf fig tree,9/11/21
405,-117.915488,33.80495371,188.71,55.54,18.7,21.98,Western sycamore,9/11/21
406,-117.928481,33.80476587,157.18,31.57,16.08,17.72,Western sycamore,9/11/21
407,-117.916008,33.80493249,166.37,32.52,18.37,19.03,California palm,9/11/21
408,-117.915737,33.8049295,160.12,25.47,18.7,20.34,Queen palm,9/11/21
409,-117.928310,33.8047542,146.04,20.66,18.04,19.03,Mexican fan palm,9/11/21
410,-117.928111,33.80474622,150.14,22.73,24.93,47.9,Carrotwood,9/11/21
411,-117.915277,33.80490994,180.68,47.38,20.67,59.06,Dwarf fig tree,9/11/21
412,-117.916118,33.80489514,160.59,26.56,18.04,19.69,Western sycamore,9/11/21
413,-117.915753,33.80490022,159.14,24.56,22.31,37.4,Western sycamore,9/11/21
414,-117.915645,33.80488732,165.74,31.13,18.37,19.36,California palm,9/11/21
415,-117.917501,33.80485902,159.29,26.61,18.04,18.7,Queen palm,9/11/21
416,-117.915490,33.80488561,181.98,48.89,18.7,20.67,Mexican fan palm,9/11/21
417,-117.915349,33.8048876,178.98,45.2,19.36,27.89,Western sycamore,9/11/21
418,-117.928167,33.80471294,151.37,25.71,18.37,19.36,California palm,9/11/21
419,-117.916200,33.80486893,159.63,25.97,18.04,19.03,Queen palm,9/11/21
420,-117.915525,33.80487757,183.66,49.7,18.37,19.03,Mexican fan palm,9/11/21
421,-117.915307,33.80488187,181.27,47.46,18.7,20.34,Carrotwood,9/11/21
422,-117.917072,33.80485387,155.7,22.69,18.7,29.2,Dwarf fig tree,9/11/21
423,-117.916693,33.80485951,149.88,16.63,17.06,18.37,Western sycamore,9/11/21
424,-117.917029,33.80485061,160.48,27.47,18.04,19.03,Western sycamore,9/11/21
425,-117.928217,33.80469731,145.1,20.11,17.06,19.69,California palm,9/11/21
426,-117.916981,33.80484754,155.84,22.85,18.37,32.15,Queen palm,9/11/21
427,-117.917157,33.80484212,158.82,26,17.72,19.03,Mexican fan palm,9/11/21
428,-117.916818,33.8048429,157.31,24.55,19.03,21.65,Carrotwood,9/11/21
429,-117.916371,33.8048491,160.14,26.89,18.37,19.03,Dwarf fig tree,9/11/21
430,-117.928154,33.80468711,150.99,25.01,19.03,23.95,Western sycamore,9/11/21
431,-117.917594,33.80482956,161.42,29.04,18.37,19.03,Western sycamore,9/11/21
432,-117.916886,33.8048381,156.15,23.33,18.37,19.03,California palm,9/11/21
433,-117.916745,33.80484016,158.67,25.76,17.39,18.7,Queen palm,9/11/21
434,-117.916281,33.80484285,159.5,26.17,18.37,19.03,Mexican fan palm,9/11/21
435,-117.928119,33.80468042,152.45,25.46,31.5,59.06,Carrotwood,9/11/21
436,-117.915266,33.80485315,180.35,47.25,17.39,19.69,Dwarf fig tree,9/11/21
437,-117.917652,33.80480765,157.77,43.72,18.37,19.03,Western sycamore,9/11/21
438,-117.928325,33.80466004,147.45,21.7,18.37,19.03,Western sycamore,9/11/21
439,-117.928123,33.80464469,156.3,29.13,18.7,21,California palm,9/11/21
440,-117.915550,33.80480599,184.68,51.03,19.36,27.56,Queen palm,9/11/21
441,-117.928037,33.80463515,148.52,21.12,18.37,23.29,Mexican fan palm,9/11/21
442,-117.915700,33.80479828,161.8,27.48,18.37,21.33,Carrotwood,9/11/21
443,-117.915299,33.80480165,187.36,53.66,19.03,26.25,Dwarf fig tree,9/11/21
444,-117.915661,33.80479347,162.57,28.29,18.04,19.03,Western sycamore,9/11/21
445,-117.915489,33.80478854,185.12,52.35,18.37,19.03,Western sycamore,9/11/21
446,-117.928200,33.8046151,149.29,23.89,18.04,19.03,California palm,9/11/21
447,-117.928130,33.80460878,156.84,29.99,19.03,25.92,Queen palm,9/11/21
448,-117.928040,33.80460702,149.47,22.17,18.04,19.03,Mexican fan palm,9/11/21
449,-117.928323,33.80458825,148.54,22.8,19.36,22.31,Western sycamore,9/11/21
