LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD
-118.3698042,33.96938523,130.34,22.68,17.06,20.01
-118.3696622,33.9693791,127.79,20.75,14.76,16.08
-118.3700395,33.96936838,117.17,23.45,16.73,17.39
-118.3697879,33.96935891,131.09,23.57,16.40,17.06
-118.3704018,33.96934118,115.47,20.48,16.08,17.39
-118.3702594,33.96927558,133.42,39.50,17.39,22.64
-118.3702665,33.96925319,133.62,40.10,16.73,17.39
-118.369798,33.96925125,125.68,18.95,15.42,17.06
-118.3696501,33.96925121,135.80,28.63,14.76,16.73
-118.3703232,33.96924637,135.58,41.98,16.73,17.39
-118.3695661,33.96923858,128.69,21.39,14.44,15.75
-118.3699763,33.96922779,125.68,26.10,16.40,17.06
-118.369912,33.96921475,127.81,26.82,16.73,17.39
-118.3700108,33.96920095,118.26,24.85,16.40,17.39
-118.3698187,33.96919226,125.95,25.26,16.73,17.39
-118.3699725,33.96916292,122.72,24.75,14.76,16.08
-118.3703057,33.96915399,119.27,27.46,14.11,15.42
-118.3697948,33.96915333,130.33,26.70,15.75,16.73
-118.3696816,33.9691396,135.14,34.79,17.06,18.37
-118.3703606,33.96913114,115.65,22.36,17.06,19.69
-118.3697239,33.96911694,134.77,33.05,14.76,16.08
-118.3700107,33.96911003,113.24,21.12,16.40,18.70
-118.3696127,33.96910707,134.05,33.80,16.08,17.39
-118.3703051,33.96910203,122.46,31.27,14.44,15.75
-118.369668,33.96909077,133.64,32.01,14.76,15.75
-118.3704034,33.96907529,136.10,42.06,16.08,17.39
-118.3703061,33.96906923,122.09,31.78,16.73,31.17
-118.3699711,33.96906659,126.06,30.12,16.08,17.72
-118.370298,33.96904923,128.87,38.90,16.40,20.01
-118.3696479,33.96905122,134.76,30.56,14.44,16.08
-118.3703848,33.96902598,130.73,39.44,16.73,17.39
-118.3699433,33.96902882,124.26,28.87,15.09,17.06
-118.3704702,33.96901344,116.75,28.86,16.40,18.37
-118.3699754,33.96901605,130.56,35.83,17.06,23.95
-118.3699476,33.96896169,142.50,50.53,17.06,21.00
-118.3700067,33.96895932,108.00,18.70,17.06,19.36
-118.3698361,33.96893442,137.79,44.59,15.42,16.08
-118.3699591,33.96889307,127.37,35.39,19.36,36.75
-118.3698758,33.96887037,122.90,29.62,16.40,17.06
-118.3698253,33.96886711,140.13,46.63,16.40,17.39
-118.3699664,33.9688607,128.60,37.96,16.73,17.39
-118.3697574,33.96885099,142.19,48.52,15.75,16.73
-118.3697034,33.96883819,138.30,45.22,16.08,17.06
-118.3696361,33.96881863,136.98,43.87,16.40,17.06
-118.3699862,33.96880797,120.07,32.10,16.73,17.72
-118.370021,33.96874877,107.85,21.44,16.73,17.72
-118.3699817,33.96873602,112.03,24.64,15.75,16.73
